local_code,reagent_name,cas_number,functional_group,location,observation,av_quantity,tot_quantity,size
A-1,ACIDO-2-CLOROBENZOICO,118-91-2,Ácidos orgánicos,ESTANTE MADERA GRANDE,NULL,~ 1/3; 1 kg,1 kg,Muy grande
A-10,"ACIDO-3,5-DINITROBENZOICO",99-343,Ácidos orgánicos,ESTANTE MADERA GRANDE,NULL,> 3/4; 100 g,100 g,Grande
A-11,ACIDO-1-NAFTOICO,86-55-5,Ácidos orgánicos,ESTANTE MADERA GRANDE,NULL,22 g,25 g,Medio
A-12,ACIDO 5-SULFOSALICILICO DIHIDRATO,5965-83-3,Ácidos orgánicos,ESTANTE MADERA GRANDE,NULL,~4/5; 1 kg,1 kg,Muy grande
A-13,ACIDO 4-FORMILBENZOICO,619-66-9,Ácidos orgánicos,ESTANTE MADERA GRANDE,NULL,6 g,10 g,Pequeño
A-14,ACIDO-4-METIL-3-NITROBENZOICO,96-98-0,Ácidos orgánicos,ESTANTE MADERA GRANDE,NULL,~ 1/2; 100 g,100 g,Mediano
A-15,ACIDO-P-TOLUICO,99-94-5,Ácidos orgánicos,ESTANTE MADERA GRANDE,NULL,> 1/3; 500 g,500 g,Grande
A-18,ACIDO-L-TARTARICO,87-69-4,Ácidos orgánicos,ESTANTE MADERA GRANDE,NULL,> 2/3; 1 kg,1 kg,Muy grande
A-19,ACIDO CITRICO,77-92-9,Ácidos orgánicos,ESTANTE MADERA GRANDE,Envasado en frascos de compota.,< 1/10; 50 g,50 g,Mediano
A-19,ACIDO CITRICO,77-92-9,Ácidos orgánicos,ESTANTE MADERA GRANDE,Envasado en frascos de compota.,< 1/2; 1 lb,1 lb,Mediano
A-2,ACIDO TIOGLICOLICO,68-11-1,Ácidos orgánicos,ESTANTE MADERA GRANDE,NULL,80 mL,100 mL,Mediano
A-20,ACIDO ISONICOTINICO HIDRAZIDA,58481-01-9,Ácidos orgánicos,ESTANTE MADERA GRANDE,NULL,> 1/2; 100 g,100 g,Medio-grande
A-21,ACIDO-3-NITROBENZOICO,121-92-6,Ácidos orgánicos,ESTANTE MADERA GRANDE,NULL,220 g,250 g,Medio-grande
A-22,ACIDO-2-AMINOTEREFTALICO,10312-55-7,Ácidos orgánicos,ESTANTE MADERA GRANDE,NULL,~ 1/4; 10 g,10 g,Pequeño
A-23,ACIDO QUINALDICO,93-10-7,Ácidos orgánicos,ESTANTE MADERA GRANDE,NULL,< 1/10; 25 g,25 g,Mediano
A-24,ACIDO GLICOLICO,79-14-1,Ácidos orgánicos,ESTANTE MADERA GRANDE,NULL,~ 1/2; 100 g,100 g,Mediano
A-25,ACIDO LEVULINICO,123-76-2,Ácidos orgánicos,ESTANTE MADERA GRANDE,"Tener cuidado, el frasco está agrietado y se está filtrando líquido hacia afuera.",NULL,100 g,Mediano
A-26,ACIDO 4-NITROBENZOICO,62-33-7,Ácidos orgánicos,ESTANTE MADERA GRANDE,NULL,> 1/2; 100 g,100 g,Mediano
A-27,ACIDO 4-AMINO-3-NITROBENZOICO,1588-83-6,Ácidos orgánicos,ESTANTE MADERA GRANDE,NULL,~ 1/2; 10 g,10 g,Mediano
A-28,ACIDO-6-AMINO-2-NAFTOICO,116668-47-4,Ácidos orgánicos,ESTANTE MADERA GRANDE,NULL,<= 1/4; 1 g,1 g,Muy pequeño
A-29,ACIDO PALMITICO,57-10-3,Ácidos orgánicos,ESTANTE MADERA GRANDE,Reenvasado en un frasco de conservas,~ 1/10; 70 g,70 g,Mediano
A-3,ACIDO-3-INDOLBUTIRICO,133-32-4,Ácidos orgánicos,ESTANTE MADERA GRANDE,NULL,66 g,100 g,Grande
A-30,ACIDO LAURICO,143-07-7,Ácidos orgánicos,ESTANTE MADERA GRANDE,NULL,<= 1/3; 100 g,100 g,Mediano
A-31,ACIDO OLEICO,112-80-1,Ácidos orgánicos,ESTANTE MADERA GRANDE,NULL,~ 2/3; 1 L,1 L,Grande
A-31,ACIDO OLEICO,112-80-1,Ácidos orgánicos,ESTANTE MADERA GRANDE,NULL,~ 1/1; 1 L,1 L,Muy grande
A-32,ACIDO FORMICO,64-18-6,Ácidos orgánicos,ESTANTE MADERA GRANDE,NULL,<= 1/10; 1 L,1 L,Muy grande
A-33,ACIDO PROPIONICO,79-09-4,Ácidos orgánicos,ESTANTE MADERA GRANDE,NULL,< 1/10; 500 mL,500 mL,Grande
A-34,ACIDO CICLOHEXANOCARBOXILICO,98-89-5,Ácidos orgánicos,ESTANTE MADERA GRANDE,NULL,~ 2/3; 500 mL,500 mL,Medio-grande
A-35,ACIDO TRICLOROACETICO,76-03-9,Ácidos orgánicos,ESTANTE MADERA GRANDE,"El frasco #1 corresponde a una disolución, el frasco #2 corresponde a la sustancia pura.",~ 3/4; 1 kg,1 kg,Muy grande
A-35,ACIDO TRICLOROACETICO,76-03-9,Ácidos orgánicos,ESTANTE MADERA GRANDE,"El frasco #1 corresponde a una disolución, el frasco #2 corresponde a la sustancia pura.",40 mL,50 mL,Mediano
A-36,ACIDO MALICO,617-48-1,Ácidos orgánicos,ESTANTE MADERA GRANDE,NULL,~ 1/3; 1 kg,1 kg,Muy grande
A-39,ACIDO BENZOICO,65-85-0,Ácidos orgánicos,ESTANTE MADERA GRANDE,Reenvasado en frasco de muestra coprológica,>= 1/2; 50 g,50 g,Mediano
